sku_id,stock_on_hand,reorder_point_source,safety_stock_source,avg_weekly_demand,std_weekly_demand,sku_name,category,cost_price,unit_price,daily_demand,daily_std,calculated_safety_stock,lead_time_demand,ROP,annual_demand,holding_cost_per_unit_year,EOQ,forecast_8w_demand,stockout_risk,overstock_risk,recommended_action,reorder_qty,sales_at_risk_rupees,locked_capital_rupees,priority_score
SKU04062,7249,1618,618,0.25,0.621581560508061,PurePlus Mobile Accessories Family Pack,Electronics & Accessories,2728.94,3430.14,0.03571428571428571,0.23493574694968236,1.0225016670357603,0.25,1.2725016670357603,13.0,545.788,4.880447942963317,2.0,False,True,MARKDOWN / CLEAR,0.0,0.0,19776628.18,19776628.18
SKU03150,7072,1556,527,1.0,1.5374122295716146,ZestyCo Women's Wear 250g,Apparel & Footwear,2742.62,3570.59,0.14285714285714285,0.5810872031479763,2.529043117645306,1.0,3.529043117645306,52.0,548.524,9.73652211545856,8.0,False,True,MARKDOWN / CLEAR,0.0,0.0,19373867.68,19373867.68
SKU03043,5107,1235,420,0.8333333333333334,1.0298573010888745,HealthFirst Mobile Accessories Medium,Electronics & Accessories,3398.16,4386.71,0.11904761904761905,0.3892494720807615,1.6941152602911984,0.8333333333333334,2.527448593624532,43.333333333333336,679.6320000000001,7.984985635895967,6.666666666666667,False,True,MARKDOWN / CLEAR,0.0,0.0,17331748.72,17331748.72
SKU04409,7772,1688,570,0.9166666666666666,1.5050420310248867,SunriseFoods Footwear 2kg,Apparel & Footwear,1975.87,2585.87,0.13095238095238096,0.5688524181130583,2.475794141035939,0.9166666666666667,3.392460807702606,47.666666666666664,395.174,10.98280341004469,7.333333333333333,False,True,MARKDOWN / CLEAR,0.0,0.0,15341971.926666666,15341971.926666666
SKU01428,7389,1566,567,2.0,2.5936986577612915,BasicNeeds Men's Wear 250ml,Apparel & Footwear,2043.62,2772.39,0.2857142857142857,0.9803259463254865,4.266634292017325,2.0,6.266634292017325,104.0,408.724,15.951502624863764,16.0,False,True,MARKDOWN / CLEAR,0.0,0.0,15067610.26,15067610.26
SKU01174,9102,1898,613,1.4166666666666667,2.391588796113782,NovaFresh Home Decor 2L,Home & Kitchen,1462.83,1964.02,0.20238095238095238,0.9039355989779178,3.9341635696071715,1.4166666666666667,5.350830236273838,73.66666666666667,292.566,15.868050811664009,11.333333333333334,False,True,MARKDOWN / CLEAR,0.0,0.0,13298099.919999998,13298099.919999998
SKU00075,5552,1274,465,1.0833333333333333,1.3113721705515067,TrueTaste Batteries 250g,Electronics & Accessories,2393.21,3697.58,0.15476190476190474,0.49565209136146665,2.1572072205572286,1.0833333333333333,3.240540553890562,56.33333333333333,478.64200000000005,10.848690579962327,8.666666666666666,False,True,MARKDOWN / CLEAR,0.0,0.0,13266360.766666666,13266360.766666666
SKU01423,5987,1438,524,1.0,1.4770978917519928,BasicNeeds Mobile Accessories 500g,Electronics & Accessories,2040.58,2866.27,0.14285714285714285,0.5582905262390825,2.429826031932028,1.0,3.429826031932028,52.0,408.116,11.287814430995311,8.0,False,True,MARKDOWN / CLEAR,0.0,0.0,12200627.82,12200627.82
SKU01542,7538,1526,514,0.25,0.4522670168666455,FamilyChoice Home Decor 1L,Home & Kitchen,1593.84,2612.73,0.03571428571428571,0.17094086468945693,0.7439792427456318,0.25,0.9939792427456318,13.0,318.76800000000003,6.386079449971963,2.0,False,True,MARKDOWN / CLEAR,0.0,0.0,12011178.24,12011178.24
SKU04791,6763,1525,558,0.5833333333333334,1.4433756729740643,CleanWave Batteries Large,Electronics & Accessories,1755.1,2688.04,0.08333333333333334,0.5455447255899809,2.374352982042336,0.5833333333333334,2.9576863153756694,30.333333333333336,351.02,9.295957678718748,4.666666666666667,False,True,MARKDOWN / CLEAR,0.0,0.0,11861550.833333332,11861550.833333332
SKU02421,7292,1630,616,0.75,1.3568010505999362,HomeStyle Kids Wear 500g,Apparel & Footwear,1612.38,2671.52,0.10714285714285714,0.5128225940683707,2.231937728236895,0.75,2.981937728236895,39.0,322.47600000000006,10.997237502531428,6.0,False,True,MARKDOWN / CLEAR,0.0,0.0,11747800.680000002,11747800.680000002
SKU00167,6662,1563,578,1.25,2.0943647333651407,ZestyCo Batteries 500g,Electronics & Accessories,1652.67,2596.95,0.17857142857142858,0.7915954627354661,3.4452299863856566,1.25,4.695229986385657,65.0,330.53400000000005,14.023247809322337,10.0,False,True,MARKDOWN / CLEAR,0.0,0.0,10993560.84,10993560.84
SKU00024,6453,1467,490,1.5,1.9306145983268455,HealthFirst Batteries 500g,Electronics & Accessories,1671.96,2711.05,0.21428571428571427,0.729703729240527,3.1758610142476607,1.5,4.67586101424766,78.0,334.39200000000005,15.272824521994556,12.0,False,True,MARKDOWN / CLEAR,0.0,0.0,10769094.36,10769094.36
SKU04654,6277,1529,544,0.5,1.0,GoldenHarvest Women's Wear 1kg,Apparel & Footwear,1667.19,2988.03,0.07142857142857142,0.3779644730092272,1.645,0.5,2.145,26.0,333.43800000000005,8.830374606327522,4.0,False,True,MARKDOWN / CLEAR,0.0,0.0,10458282.870000001,10458282.870000001
SKU02541,6617,1492,582,0.75,1.6025547785276542,FamilyChoice Small Appliances 100g,Electronics & Accessories,1551.99,2807.09,0.10714285714285714,0.6057087723346236,2.636202610677991,0.75,3.386202610677991,39.0,310.398,11.209154270778184,6.0,False,True,MARKDOWN / CLEAR,0.0,0.0,10260205.89,10260205.89
