week,sku_id,demand,forecast
2025-11-10,SKU00001,3.0,4.25
2025-11-17,SKU00001,0.0,3.75
2025-11-24,SKU00001,3.0,2.5
2025-12-01,SKU00001,7.0,2.25
2025-12-08,SKU00001,6.0,3.25
2025-12-15,SKU00001,5.0,4.0
2025-12-22,SKU00001,1.0,5.25
2025-12-29,SKU00001,0.0,4.75
2025-11-10,SKU00002,3.0,20.0
2025-11-17,SKU00002,6.0,18.5
2025-11-24,SKU00002,14.0,14.75
2025-12-01,SKU00002,19.0,11.75
2025-12-08,SKU00002,45.0,10.5
2025-12-15,SKU00002,21.0,21.0
2025-12-22,SKU00002,28.0,24.75
2025-12-29,SKU00002,15.0,28.25
2025-11-10,SKU00003,1.0,1.5
2025-11-17,SKU00003,0.0,1.75
2025-11-24,SKU00003,4.0,1.75
2025-12-01,SKU00003,0.0,1.75
2025-12-08,SKU00003,1.0,1.25
2025-12-15,SKU00003,0.0,1.25
2025-12-22,SKU00003,0.0,1.25
2025-12-29,SKU00003,0.0,0.25
2025-11-10,SKU00004,3.0,0.5
2025-11-17,SKU00004,0.0,1.25
2025-11-24,SKU00004,0.0,1.25
2025-12-01,SKU00004,5.0,0.75
2025-12-08,SKU00004,6.0,2.0
2025-12-15,SKU00004,0.0,2.75
2025-12-22,SKU00004,3.0,2.75
2025-12-29,SKU00004,0.0,3.5
2025-11-10,SKU00005,0.0,1.25
2025-11-17,SKU00005,1.0,1.0
2025-11-24,SKU00005,1.0,1.25
2025-12-01,SKU00005,3.0,0.5
2025-12-08,SKU00005,0.0,1.25
2025-12-15,SKU00005,1.0,1.25
2025-12-22,SKU00005,0.0,1.25
2025-12-29,SKU00005,0.0,1.0
2025-11-10,SKU00006,0.0,3.0
2025-11-17,SKU00006,4.0,3.0
2025-11-24,SKU00006,0.0,3.0
2025-12-01,SKU00006,1.0,2.5
2025-12-08,SKU00006,3.0,1.25
2025-12-15,SKU00006,2.0,2.0
2025-12-22,SKU00006,0.0,1.5
2025-12-29,SKU00006,0.0,1.5
2025-11-10,SKU00007,2.0,1.75
2025-11-17,SKU00007,0.0,2.0
2025-11-24,SKU00007,0.0,0.5
2025-12-01,SKU00007,0.0,0.5
2025-12-08,SKU00007,3.0,0.5
2025-12-15,SKU00007,5.0,0.75
2025-12-22,SKU00007,1.0,2.0
2025-12-29,SKU00007,0.0,2.25
2025-11-10,SKU00008,1.0,1.25
2025-11-17,SKU00008,0.0,0.25
2025-11-24,SKU00008,0.0,0.25
2025-12-01,SKU00008,6.0,0.25
2025-12-08,SKU00008,1.0,1.75
2025-12-15,SKU00008,3.0,1.75
2025-12-22,SKU00008,2.0,2.5
2025-12-29,SKU00008,0.0,3.0
2025-11-10,SKU00009,0.0,1.5
2025-11-17,SKU00009,0.0,1.5
2025-11-24,SKU00009,0.0,1.25
2025-12-01,SKU00009,1.0,0.0
2025-12-08,SKU00009,0.0,0.25
2025-12-15,SKU00009,0.0,0.25
2025-12-22,SKU00009,0.0,0.25
2025-12-29,SKU00009,0.0,0.25
2025-11-10,SKU00010,0.0,2.0
2025-11-17,SKU00010,0.0,1.0
2025-11-24,SKU00010,1.0,1.0
2025-12-01,SKU00010,0.0,0.25
2025-12-08,SKU00010,0.0,0.25
2025-12-15,SKU00010,5.0,0.25
2025-12-22,SKU00010,3.0,1.5
2025-12-29,SKU00010,2.0,2.0
2025-11-10,SKU00011,0.0,1.25
2025-11-17,SKU00011,2.0,1.25
2025-11-24,SKU00011,3.0,0.75
2025-12-01,SKU00011,1.0,1.25
2025-12-08,SKU00011,0.0,1.5
2025-12-15,SKU00011,0.0,1.5
2025-12-22,SKU00011,0.0,1.0
2025-12-29,SKU00011,3.0,0.25
2025-11-10,SKU00012,1.0,0.0
2025-11-17,SKU00012,0.0,0.25
2025-11-24,SKU00012,0.0,0.25
2025-12-01,SKU00012,4.0,0.25
2025-12-08,SKU00012,0.0,1.25
2025-12-15,SKU00012,0.0,1.0
2025-12-22,SKU00012,0.0,1.0
2025-12-29,SKU00012,0.0,1.0
2025-11-10,SKU00013,0.0,2.25
2025-11-17,SKU00013,2.0,1.5
2025-11-24,SKU00013,0.0,0.75
2025-12-01,SKU00013,4.0,0.75
2025-12-08,SKU00013,1.0,1.5
2025-12-15,SKU00013,1.0,1.75
2025-12-22,SKU00013,0.0,1.5
2025-12-29,SKU00013,1.0,1.5
2025-11-10,SKU00014,0.0,0.75
2025-11-17,SKU00014,0.0,0.75
2025-11-24,SKU00014,1.0,0.25
2025-12-01,SKU00014,0.0,0.25
2025-12-08,SKU00014,0.0,0.25
2025-12-15,SKU00014,5.0,0.25
2025-12-22,SKU00014,2.0,1.5
2025-12-29,SKU00014,1.0,1.75
2025-11-10,SKU00015,3.0,0.75
2025-11-17,SKU00015,0.0,1.0
2025-11-24,SKU00015,1.0,1.0
2025-12-01,SKU00015,0.0,1.0
2025-12-08,SKU00015,2.0,1.0
2025-12-15,SKU00015,1.0,0.75
2025-12-22,SKU00015,1.0,1.0
2025-12-29,SKU00015,0.0,1.0
2025-11-10,SKU00016,0.0,8.5
2025-11-17,SKU00016,2.0,6.75
2025-11-24,SKU00016,4.0,5.5
2025-12-01,SKU00016,3.0,5.25
2025-12-08,SKU00016,5.0,2.25
2025-12-15,SKU00016,17.0,3.5
2025-12-22,SKU00016,11.0,7.25
2025-12-29,SKU00016,0.0,9.0
2025-11-10,SKU00017,0.0,0.25
2025-11-17,SKU00017,0.0,0.25
2025-11-24,SKU00017,0.0,0.25
2025-12-01,SKU00017,3.0,0.25
2025-12-08,SKU00017,1.0,0.75
2025-12-15,SKU00017,0.0,1.0
2025-12-22,SKU00017,3.0,1.0
2025-12-29,SKU00017,0.0,1.75
2025-11-10,SKU00018,0.0,0.0
2025-11-17,SKU00018,5.0,0.0
2025-11-24,SKU00018,0.0,1.25
2025-12-01,SKU00018,0.0,1.25
2025-12-08,SKU00018,1.0,1.25
2025-12-15,SKU00018,5.0,1.5
2025-12-22,SKU00018,0.0,1.5
2025-12-29,SKU00018,2.0,1.5
2025-11-10,SKU00019,7.0,2.25
2025-11-17,SKU00019,3.0,4.0
2025-11-24,SKU00019,0.0,4.5
2025-12-01,SKU00019,5.0,3.5
2025-12-08,SKU00019,1.0,3.75
2025-12-15,SKU00019,2.0,2.25
2025-12-22,SKU00019,0.0,2.0
2025-12-29,SKU00019,4.0,2.0
2025-11-10,SKU00020,4.0,10.75
2025-11-17,SKU00020,9.0,10.75
2025-11-24,SKU00020,14.0,10.25
2025-12-01,SKU00020,5.0,10.0
2025-12-08,SKU00020,8.0,8.0
2025-12-15,SKU00020,10.0,9.0
2025-12-22,SKU00020,11.0,9.25
2025-12-29,SKU00020,6.0,8.5
2025-11-10,SKU00021,0.0,0.75
2025-11-17,SKU00021,0.0,0.75
2025-11-24,SKU00021,0.0,0.75
2025-12-01,SKU00021,0.0,0.25
2025-12-08,SKU00021,2.0,0.0
2025-12-15,SKU00021,0.0,0.5
2025-12-22,SKU00021,0.0,0.5
2025-12-29,SKU00021,4.0,0.5
2025-11-10,SKU00022,0.0,0.25
2025-11-17,SKU00022,1.0,0.25
2025-11-24,SKU00022,0.0,0.25
2025-12-01,SKU00022,1.0,0.25
2025-12-08,SKU00022,5.0,0.5
2025-12-15,SKU00022,1.0,1.75
2025-12-22,SKU00022,0.0,1.75
2025-12-29,SKU00022,0.0,1.75
2025-11-10,SKU00023,0.0,1.25
2025-11-17,SKU00023,9.0,0.75
2025-11-24,SKU00023,6.0,2.5
2025-12-01,SKU00023,1.0,4.0
2025-12-08,SKU00023,4.0,4.0
2025-12-15,SKU00023,0.0,5.0
2025-12-22,SKU00023,0.0,2.75
2025-12-29,SKU00023,0.0,1.25
2025-11-10,SKU00024,0.0,1.5
2025-11-17,SKU00024,0.0,0.75
2025-11-24,SKU00024,6.0,0.75
2025-12-01,SKU00024,1.0,2.25
2025-12-08,SKU00024,2.0,1.75
2025-12-15,SKU00024,0.0,2.25
2025-12-22,SKU00024,3.0,2.25
2025-12-29,SKU00024,0.0,1.5
2025-11-10,SKU00025,0.0,1.5
2025-11-17,SKU00025,0.0,1.5
2025-11-24,SKU00025,2.0,1.5
2025-12-01,SKU00025,0.0,1.5
2025-12-08,SKU00025,1.0,0.5
2025-12-15,SKU00025,3.0,0.75
2025-12-22,SKU00025,0.0,1.5
2025-12-29,SKU00025,0.0,1.0
2025-11-10,SKU00026,0.0,0.75
2025-11-17,SKU00026,0.0,0.75
2025-11-24,SKU00026,0.0,0.75
2025-12-01,SKU00026,0.0,0.0
2025-12-08,SKU00026,2.0,0.0
2025-12-15,SKU00026,0.0,0.5
2025-12-22,SKU00026,1.0,0.5
2025-12-29,SKU00026,4.0,0.75
2025-11-10,SKU00027,11.0,3.5
2025-11-17,SKU00027,0.0,5.5
2025-11-24,SKU00027,13.0,4.25
2025-12-01,SKU00027,0.0,6.25
2025-12-08,SKU00027,8.0,6.0
2025-12-15,SKU00027,2.0,5.25
2025-12-22,SKU00027,0.0,5.75
2025-12-29,SKU00027,0.0,2.5
2025-11-10,SKU00028,2.0,1.5
2025-11-17,SKU00028,0.0,1.5
2025-11-24,SKU00028,0.0,1.0
2025-12-01,SKU00028,0.0,0.5
2025-12-08,SKU00028,0.0,0.5
2025-12-15,SKU00028,0.0,0.0
2025-12-22,SKU00028,1.0,0.0
2025-12-29,SKU00028,0.0,0.25
2025-11-10,SKU00029,2.0,0.75
2025-11-17,SKU00029,0.0,1.25
2025-11-24,SKU00029,6.0,1.25
2025-12-01,SKU00029,7.0,2.5
2025-12-08,SKU00029,1.0,3.75
2025-12-15,SKU00029,2.0,3.5
2025-12-22,SKU00029,4.0,4.0
2025-12-29,SKU00029,0.0,3.5
2025-11-10,SKU00030,4.0,1.75
2025-11-17,SKU00030,2.0,2.25
2025-11-24,SKU00030,2.0,2.0
2025-12-01,SKU00030,0.0,2.5
2025-12-08,SKU00030,0.0,2.0
2025-12-15,SKU00030,6.0,1.0
2025-12-22,SKU00030,4.0,2.0
